ID,DATE,ROUTE,centre_BUS
C01248,2024-06-01,Ligne 258,DEFENSE OUEST
C01072,2024-06-01,Ligne 20,PARIS EST
C01133,2024-06-01,Ligne 104,CRETEIL-ST MAUR   
C01083,2024-06-01,Ligne 38,AUBERVILLIERS
C01136,2024-06-01,Ligne 107,CRETEIL-ST MAUR   
C01283,2024-06-01,Ligne 320,BORDS DE MARNE
C01076,2024-06-01,Ligne 26,BELLIARD
C01351,2024-06-01,Ligne 566,DEFENSE OUEST
C01207,2024-06-01,Ligne 186,VITRY
C01154,2024-06-01,Ligne 125,VITRY
C01249,2024-06-01,Ligne 261,SAINT DENIS
C01275,2024-06-01,Ligne 304,DEFENSE OUEST
C01172,2024-06-01,Ligne 147,PAVILLONS
C01286,2024-06-01,Ligne 322,PARIS EST
C01402,2024-06-01,Ligne N61,PARIS SUD OUEST
C01326,2024-06-01,Ligne 485,THIAIS
C01144,2024-06-01,Ligne 115,PARIS EST
C01392,2024-06-01,Ligne N24,DEFENSE OUEST
C01280,2024-06-01,Ligne 317,CRETEIL-ST MAUR   
C01082,2024-06-01,Ligne 32,BELLIARD
C01158,2024-06-01,Ligne 129,PARIS EST
C02288,2024-06-01,Ligne 193,VITRY
C01214,2024-06-01,Ligne 194,SEINE RIVE GAUCHE
C01278,2024-06-01,Ligne 310,BORDS DE MARNE
C01170,2024-06-01,Ligne 145,PAVILLONS
C01085,2024-06-01,Ligne 42,PARIS SUD OUEST
C01407,2024-06-01,Ligne N22,THIAIS
C01696,2024-06-01,Ligne 248,FLANDRE
C01350,2024-06-01,Ligne 565,DEFENSE OUEST
C02314,2024-06-01,Ligne 263,DEFENSE OUEST
C01225,2024-06-01,Ligne 211,BORDS DE MARNE
C01260,2024-06-01,Ligne 281,CRETEIL-ST MAUR   
C01089,2024-06-01,Ligne 48,PARIS EST
C01184,2024-06-01,Ligne 162,SEINE RIVE GAUCHE
C01138,2024-06-01,Ligne 109,CRETEIL-ST MAUR   
C02080,2024-06-01,Ligne 559B,DEFENSE OUEST
C01323,2024-06-01,Ligne 421,BORDS DE MARNE
C01199,2024-06-01,Ligne 178,RIVES NORD
C01807,2024-06-01,Ligne N66,SEINE RIVE GAUCHE
C01360,2024-06-01,Ligne CHOISYBUS,CRETEIL-ST MAUR   
C01125,2024-06-01,Ligne 94,MONTROUGE
C01400,2024-06-01,Ligne N31,VITRY
C01809,2024-06-01,Ligne 380,VITRY
C01354,2024-06-01,Ligne TUC,RIVES NORD
C02081,2024-06-01,Ligne 559C,DEFENSE OUEST
C01081,2024-06-01,Ligne 31,AUBERVILLIERS
C01098,2024-06-01,Ligne 62,QUAIS DE SEINE
C01342,2024-06-01,Ligne TUB,Pavillons
C01140,2024-06-01,Ligne 111,CRETEIL-ST MAUR   
C01092,2024-06-01,Ligne 54,AUBERVILLIERS
C01194,2024-06-01,Ligne 173,FLANDRE
C01236,2024-06-01,Ligne 237,RIVES NORD
C01167,2024-06-01,Ligne 141,DEFENSE OUEST
C01096,2024-06-01,Ligne 60,BELLIARD
C01308,2024-06-01,Ligne 368,SAINT DENIS
C02007,2024-06-01,Ligne 168,SAINT DENIS
C01215,2024-06-01,Ligne 195,SEINE RIVE GAUCHE
C01255,2024-06-01,Ligne 274,RIVES NORD
C01181,2024-06-01,Ligne 158,DEFENSE OUEST
C01115,2024-06-01,Ligne 83,QUAIS DE SEINE
C01182,2024-06-01,Ligne 159,DEFENSE OUEST
C01279,2024-06-01,Ligne 312,BORDS DE MARNE
C01109,2024-06-01,Ligne 74,RIVES NORD
C01268,2024-06-01,Ligne 294,SEINE RIVE GAUCHE
C01088,2024-06-01,Ligne 47,VITRY
C01151,2024-06-01,Ligne 122,PARIS EST
C01145,2024-06-01,Ligne 116,BORDS DE MARNE
C01324,2024-06-01,Ligne 467,DEFENSE OUEST
C01365,2024-06-01,Ligne TUVIM,SEINE RIVE GAUCHE
C01250,2024-06-01,Ligne 262,DEFENSE OUEST
C01414,2024-06-01,Ligne N02,PARIS SUD OUEST
C01074,2024-06-01,Ligne 22,PARIS SUD OUEST
C01319,2024-06-01,Ligne 394,SEINE RIVE GAUCHE
C01405,2024-06-01,Ligne N45,PAVILLONS
C01126,2024-06-01,Ligne 95,AUBERVILLIERS
C01305,2024-06-01,Ligne 361,SAINT DENIS
C02008,2024-06-01,Ligne 353,SAINT DENIS
C01264,2024-06-01,Ligne 289,SEINE RIVE GAUCHE
C01246,2024-06-01,Ligne 255,SAINT DENIS
C01152,2024-06-01,Ligne 123,SEINE RIVE GAUCHE
C01121,2024-06-01,Ligne 89,SEINE RIVE GAUCHE
C01420,2024-06-01,Ligne N12,PARIS EST
C01362,2024-06-01,Ligne V5,QUAIS DE SEINE
C01329,2024-06-01,Ligne CHARONNE,PARIS EST
C01356,2024-06-01,Ligne RIVER,RIVES NORD
C01197,2024-06-01,Ligne 176,DEFENSE OUEST
C01406,2024-06-01,Ligne N43,AUBERVILLIERS
C01349,2024-06-01,Ligne 564,DEFENSE OUEST
C01261,2024-06-01,Ligne ORLYBUS,QUAIS DE SEINE
C01094,2024-06-01,Ligne 57,QUAIS DE SEINE
C01124,2024-06-01,Ligne 93,DEFENSE OUEST
C02246,2024-06-01,Ligne 71,PARIS EST
C01340,2024-06-01,Ligne AS,DEFENSE OUEST
C02027,2024-06-01,Ligne 260,PARIS SUD OUEST
C01419,2024-06-01,Ligne N13,SEINE RIVE GAUCHE
C01819,2024-06-01,Ligne 208S,CRETEIL-ST MAUR   
C01127,2024-06-01,Ligne 96,PARIS EST
C01223,2024-06-01,Ligne 208A,CRETEIL-ST MAUR   
C01230,2024-06-01,Ligne 216,MONTROUGE
C01228,2024-06-01,Ligne 214,BORDS DE MARNE
C01295,2024-06-01,Ligne 346,PAVILLONS
C01410,2024-06-01,Ligne N71,THIAIS
C01756,2024-06-01,Ligne 337,SAINT DENIS
C01097,2024-06-01,Ligne 61,FLANDRE
C01244,2024-06-01,Ligne 252,AUBERVILLIERS
C01108,2024-06-01,Ligne 73,DEFENSE OUEST
C01232,2024-06-01,Ligne 220,BORDS DE MARNE
C01175,2024-06-01,Ligne 151,FLANDRE
C01243,2024-06-01,Ligne 251,PAVILLONS
C01695,2024-06-01,Ligne 247,PAVILLONS
C01808,2024-06-01,Ligne 254,SAINT DENIS
C01189,2024-06-01,Ligne 167,DEFENSE OUEST
C01191,2024-06-01,Ligne 170,AUBERVILLIERS
C01210,2024-06-01,Ligne 189,SEINE RIVE GAUCHE
C01353,2024-06-01,Ligne SUBB,PARIS SUD OUEST
C02459,2024-06-01,Ligne 382,THIAIS
C01310,2024-06-01,Ligne 372,CRETEIL-ST MAUR   
C01079,2024-06-01,Ligne 29,PARIS EST
C01238,2024-06-01,Ligne 239,SAINT DENIS
C01166,2024-06-01,Ligne 140,RIVES NORD
C01086,2024-06-01,Ligne 43,BELLIARD
C01071,2024-06-01,Ligne TVM,THIAIS
C01120,2024-06-01,Ligne 88,MONTROUGE
C01367,2024-06-01,Ligne V6,QUAIS DE SEINE
C01235,2024-06-01,Ligne 235,RIVES NORD
C01157,2024-06-01,Ligne 128,MONTROUGE   
C01185,2024-06-01,Ligne 163,DEFENSE OUEST
C01421,2024-06-01,Ligne N122,QUAIS DE SEINE
C01273,2024-06-01,Ligne 302,AUBERVILLIERS
C01247,2024-06-01,Ligne 256,SAINT DENIS
C01271,2024-06-01,Ligne 299,MONTROUGE 
C01110,2024-06-01,Ligne 75,FLANDRE
C01408,2024-06-01,Ligne N63,SEINE RIVE GAUCHE
C01780,2024-06-01,Ligne THIAIS,ne pas prendre
C01327,2024-06-01,Ligne 488,THIAIS
C01334,2024-06-01,Ligne 520,BORDS DE MARNE
C01821,2024-06-01,Ligne 486,THIAIS
C01141,2024-06-01,Ligne 112,CRETEIL-ST MAUR   
C01418,2024-06-01,Ligne N14,MONTROUGE
C01313,2024-06-01,Ligne 385,THIAIS
C01311,2024-06-01,Ligne 378,DEFENSE OUEST
C01266,2024-06-01,Ligne 291,MONTROUGE
C01413,2024-06-01,Ligne N01,PARIS EST
C01155,2024-06-01,Ligne 126,SEINE RIVE GAUCHE
C01300,2024-06-01,Ligne ROISSYBUS,AUBERVILLIERS
C01206,2024-06-01,Ligne 185,THIAIS
C02243,2024-06-01,Ligne 25,CRETEIL-ST MAUR   
C01139,2024-06-01,Ligne 110,CRETEIL-ST MAUR   
C01251,2024-06-01,Ligne 268,SAINT DENIS
C01270,2024-06-01,Ligne 297,MONTROUGE
C01205,2024-06-01,Ligne 184,VITRY
C01309,2024-06-01,Ligne 370,SAINT DENIS
C01102,2024-06-01,Ligne 66,RIVES NORD
C02082,2024-06-01,Ligne 559D,DEFENSE OUEST
C01307,2024-06-01,Ligne 367,DEFENSE OUEST
C01488,2024-06-01,Ligne 471,PARIS SUD OUEST
C02245,2024-06-01,Ligne 59,MONTROUGE
C01106,2024-06-01,Ligne 70,PARIS SUD OUEST
C01282,2024-06-01,Ligne 319,MONTROUGE
C01331,2024-06-01,Ligne TILLBUS,PARIS EST
C01277,2024-06-01,Ligne 308,CRETEIL-ST MAUR   
C01361,2024-06-01,Ligne V2,THIAIS
C01267,2024-06-01,Ligne 292,THIAIS
C01188,2024-06-01,Ligne 166,RIVES NORD
C01117,2024-06-01,Ligne 85,RIVES NORD
C01221,2024-06-01,Ligne 206,BORDS DE MARNE
C01254,2024-06-01,Ligne 272,DEFENSE OUEST
C02494,2024-06-01,Ligne BUSM14,ne pas prendre
C01224,2024-06-01,Ligne 210,BORDS DE MARNE
C01095,2024-06-01,Ligne 58,SEINE RIVE GAUCHE
C01242,2024-06-01,Ligne 250,SAINT DENIS
C01237,2024-06-01,Ligne 238,RIVES NORD
C01412,2024-06-01,Ligne N35,CRETEIL-ST MAUR   
C01285,2024-06-01,Ligne 321,BORDS DE MARNE
C02244,2024-06-01,Ligne 45,AUBERVILLIERS
C01315,2024-06-01,Ligne 389,SEINE RIVE GAUCHE
C01119,2024-06-01,Ligne 87,QUAIS DE SEINE
C01219,2024-06-01,Ligne 201,CRETEIL-ST MAUR   
C01160,2024-06-01,Ligne 132,VITRY
C01289,2024-06-01,Ligne 330,FLANDRE
C01304,2024-06-01,Ligne 360,DEFENSE OUEST
C01710,2024-06-01,Ligne 487,THIAIS
C01131,2024-06-01,Ligne 102,PARIS EST
C01112,2024-06-01,Ligne 80,BELLIARD
C01087,2024-06-01,Ligne 46,PARIS EST
C01314,2024-06-01,Ligne 388,SEINE RIVE GAUCHE
C01288,2024-06-01,Ligne 325,VITRY
C02205,2024-06-01,Ligne PC,BELLIARD
C01233,2024-06-01,Ligne 221,BORDS DE MARNE
C01258,2024-06-01,Ligne 278,DEFENSE OUEST
C01213,2024-06-01,Ligne 192,THIAIS
C01143,2024-06-01,Ligne 114,BORDS DE MARNE
C01338,2024-06-01,Ligne EOLIEN,DEFENSE OUEST
C01276,2024-06-01,Ligne 306,CRETEIL-ST MAUR   
C01148,2024-06-01,Ligne 119,MONTROUGE
C01363,2024-06-01,Ligne V7,THIAIS
C01099,2024-06-01,Ligne 63,QUAIS DE SEINE
C01322,2024-06-01,Ligne 399,MONTROUGE
C01274,2024-06-01,Ligne 303,BORDS DE MARNE
C01252,2024-06-01,Ligne 269,SAINT DENIS
C01256,2024-06-01,Ligne 275,DEFENSE OUEST
C01398,2024-06-01,Ligne N34,BORDS DE MARNE
C01359,2024-06-01,Ligne V3,VITRY
C01203,2024-06-01,Ligne 182,VITRY
C01222,2024-06-01,Ligne 207,BORDS DE MARNE
C01104,2024-06-01,Ligne 68,SEINE RIVE GAUCHE
C02457,2024-06-01,Ligne LBLEUE,DEFENSE OUEST
C01080,2024-06-01,Ligne 30,PARIS SUD OUEST
C01299,2024-06-01,Ligne 351,PAVILLONS
C01302,2024-06-01,Ligne 355,SAINT DENIS
C01257,2024-06-01,Ligne 276,DEFENSE OUEST
C01292,2024-06-01,Ligne 340,RIVES NORD
C01200,2024-06-01,Ligne 179,SEINE RIVE GAUCHE
C01396,2024-06-01,Ligne N42,FLANDRE
C01218,2024-06-01,Ligne 199,MONTROUGE
C01132,2024-06-01,Ligne 103,CRETEIL-ST MAUR   
C01395,2024-06-01,Ligne N44,SAINT DENIS
C01107,2024-06-01,Ligne 72,PARIS SUD OUEST
C02538,2024-06-01,Ligne 311,BORDS DE MARNE
C01320,2024-06-01,Ligne 395,MONTROUGE
C01394,2024-06-01,Ligne N51,BELLIARD
C01169,2024-06-01,Ligne 144,DEFENSE OUEST
C01415,2024-06-01,Ligne N11,DEFENSE OUEST
C01084,2024-06-01,Ligne 39,PARIS SUD OUEST
C01202,2024-06-01,Ligne 181,CRETEIL-ST MAUR   
C01137,2024-06-01,Ligne 108,CRETEIL-ST MAUR   
C01201,2024-06-01,Ligne 180,QUAIS DE SEINE
C01330,2024-06-01,Ligne BIEVRES,QUAIS DE SEINE
C01818,2024-06-01,Ligne 208B,CRETEIL-ST MAUR   
C01196,2024-06-01,Ligne 175,RIVES NORD
C01211,2024-06-01,Ligne 190,SEINE RIVE GAUCHE
C01262,2024-06-01,Ligne 285,THIAIS
C01173,2024-06-01,Ligne 148,PAVILLONS
C01220,2024-06-01,Ligne 203,BORDS DE MARNE
C01337,2024-06-01,Ligne AUDONIE,RIVES NORD
C01345,2024-06-01,Ligne 559A,DEFENSE OUEST
C01093,2024-06-01,Ligne 56,PARIS EST
C01227,2024-06-01,Ligne 213,BORDS DE MARNE
C01239,2024-06-01,Ligne 241,DEFENSE OUEST
C01272,2024-06-01,Ligne 301,PARIS EST
C01335,2024-06-01,Ligne NAVETTE,PARIS EST
C01149,2024-06-01,Ligne 120,BORDS DE MARNE
C01204,2024-06-01,Ligne 183,THIAIS
C01078,2024-06-01,Ligne 28,MONTROUGE
C01135,2024-06-01,Ligne 106,CRETEIL-ST MAUR   
C01294,2024-06-01,Ligne 341,BELLIARD
C01404,2024-06-01,Ligne N32,CRETEIL-ST MAUR   
C01209,2024-06-01,Ligne 188,MONTROUGE
C02251,2024-06-01,Ligne 77,PARIS EST
C01183,2024-06-01,Ligne 160,DEFENSE OUEST
C01090,2024-06-01,Ligne 52,PARIS SUD OUEST
C01241,2024-06-01,Ligne 249,FLANDRE
C01122,2024-06-01,Ligne 91,QUAIS DE SEINE
C01333,2024-06-01,Ligne NEY-FLA,BELLIARD
C01123,2024-06-01,Ligne 92,MONTROUGE
C01234,2024-06-01,Ligne 234,PAVILLONS
C01198,2024-06-01,Ligne 177,RIVES NORD
C01263,2024-06-01,Ligne 286,THIAIS
C01341,2024-06-01,Ligne 545,PARIS EST
C01403,2024-06-01,Ligne N62,SEINE RIVE GAUCHE
C01130,2024-06-01,Ligne 101,CRETEIL-ST MAUR   
C01105,2024-06-01,Ligne 69,PARIS EST
C01401,2024-06-01,Ligne N21,MONTROUGE
C01153,2024-06-01,Ligne 124,BORDS DE MARNE
C01208,2024-06-01,Ligne 187,THIAIS
C01281,2024-06-01,Ligne 318,PARIS EST
C01316,2024-06-01,Ligne 390,SEINE RIVE GAUCHE
C01303,2024-06-01,Ligne 356,SAINT DENIS
C01165,2024-06-01,Ligne 139,AUBERVILLIERS
C01195,2024-06-01,Ligne 174,RIVES NORD
C01321,2024-06-01,Ligne 396,THIAIS
C01192,2024-06-01,Ligne 171,PARIS SUD OUEST
C01073,2024-06-01,Ligne 21,MONTROUGE
C01298,2024-06-01,Ligne 350,FLANDRE
C01180,2024-06-01,Ligne 157,DEFENSE OUEST
C01190,2024-06-01,Ligne 169,PARIS SUD OUEST
C01100,2024-06-01,Ligne 64,PARIS EST
C01397,2024-06-01,Ligne N23,PARIS EST
C01399,2024-06-01,Ligne N33,CRETEIL-ST MAUR   
C01317,2024-06-01,Ligne 391,SEINE RIVE GAUCHE
C01116,2024-06-01,Ligne 84,MONTROUGE
C01240,2024-06-01,Ligne 244,DEFENSE OUEST
C02254,2024-06-01,Ligne 40,BELLIARD
C01409,2024-06-01,Ligne N53,DEFENSE OUEST
C01481,2024-06-01,Ligne 426,PARIS SUD OUEST
C01332,2024-06-01,Ligne BATIGNO,BELLIARD
C01328,2024-06-01,Ligne 492,THIAIS
C01163,2024-06-01,Ligne 137,RIVES NORD
C01416,2024-06-01,Ligne N16,PARIS EST
C01229,2024-06-01,Ligne 215,PARIS EST
C01177,2024-06-01,Ligne 153,SAINT DENIS
C01193,2024-06-01,Ligne 172,VITRY
C01226,2024-06-01,Ligne 212,BORDS DE MARNE
C01369,2024-06-01,Ligne 595,SEINE RIVE GAUCHE
C01680,2024-06-01,Ligne 35,AUBERVILLIERS
C01164,2024-06-01,Ligne 138,SAINT DENIS
C01075,2024-06-01,Ligne 24,CRETEIL-ST MAUR   
C01216,2024-06-01,Ligne 196,MONTROUGE
C01318,2024-06-01,Ligne 393,CRETEIL-ST MAUR   
C01217,2024-06-01,Ligne 197,MONTROUGE
C01111,2024-06-01,Ligne 76,PARIS EST
C01422,2024-06-01,Ligne N153,QUAIS DE SEINE
C01245,2024-06-01,Ligne 253,SAINT DENIS
C01231,2024-06-01,Ligne 217,CRETEIL-ST MAUR   
C01156,2024-06-01,Ligne 127,BORDS DE MARNE
C01103,2024-06-01,Ligne 67,MONTROUGE
C01118,2024-06-01,Ligne 86,PARIS EST
C01347,2024-06-01,Ligne V4,QUAIS DE SEINE
C02000,2024-06-01,Ligne 259,DEFENSE OUEST
C02437,2024-06-01,Ligne 209,BORDS DE MARNE
C01393,2024-06-01,Ligne N52,RIVES NORD
C01161,2024-06-01,Ligne 133,FLANDRE
C01147,2024-06-01,Ligne 118,BORDS DE MARNE
C01265,2024-06-01,Ligne 290,SEINE RIVE GAUCHE
C01146,2024-06-01,Ligne 117,CRETEIL-ST MAUR   
C01253,2024-06-01,Ligne 270,SAINT DENIS
C01150,2024-06-01,Ligne 121,PARIS EST
C01417,2024-06-01,Ligne N15,QUAIS DE SEINE
C01174,2024-06-01,Ligne 150,FLANDRE
C01212,2024-06-01,Ligne 191,SEINE RIVE GAUCHE
C01352,2024-06-01,Ligne TIM,PARIS SUD OUEST
C01186,2024-06-01,Ligne 164,DEFENSE OUEST
C01114,2024-06-01,Ligne 82,PARIS SUD OUEST
C01159,2024-06-01,Ligne 131,VITRY
C01485,2024-06-01,Ligne 459,PARIS SUD OUEST
C01287,2024-06-01,Ligne 323,SEINE RIVE GAUCHE
C01839,2024-06-01,Ligne PORT,RIVES NORD
C01077,2024-06-01,Ligne 27,QUAIS DE SEINE
C01187,2024-06-01,Ligne 165,DEFENSE OUEST
C01142,2024-06-01,Ligne 113,BORDS DE MARNE
C01134,2024-06-01,Ligne 105,PAVILLONS
C01176,2024-06-01,Ligne 152,FLANDRE
C01168,2024-06-01,Ligne 143,PAVILLONS
C01411,2024-06-01,Ligne N41,PAVILLONS
C01171,2024-06-01,Ligne 146,PAVILLONS
C01404,2024-06-02,Ligne N32,CRETEIL-ST MAUR   
C01365,2024-06-02,Ligne TUVIM,SEINE RIVE GAUCHE
C01323,2024-06-02,Ligne 421,BORDS DE MARNE
C01071,2024-06-02,Ligne TVM,THIAIS
C01182,2024-06-02,Ligne 159,DEFENSE OUEST
C01083,2024-06-02,Ligne 38,AUBERVILLIERS
C01149,2024-06-02,Ligne 120,BORDS DE MARNE
C01328,2024-06-02,Ligne 492,THIAIS
C01112,2024-06-02,Ligne 80,BELLIARD
C01395,2024-06-02,Ligne N44,SAINT DENIS
C01120,2024-06-02,Ligne 88,MONTROUGE
C01159,2024-06-02,Ligne 131,VITRY
C01217,2024-06-02,Ligne 197,MONTROUGE
C01236,2024-06-02,Ligne 237,RIVES NORD
C01392,2024-06-02,Ligne N24,DEFENSE OUEST
C01194,2024-06-02,Ligne 173,FLANDRE
C01363,2024-06-02,Ligne V7,THIAIS
C01096,2024-06-02,Ligne 60,BELLIARD
C01696,2024-06-02,Ligne 248,FLANDRE
C01173,2024-06-02,Ligne 148,PAVILLONS
C01340,2024-06-02,Ligne AS,DEFENSE OUEST
C01347,2024-06-02,Ligne V4,QUAIS DE SEINE
C01146,2024-06-02,Ligne 117,CRETEIL-ST MAUR   
C01126,2024-06-02,Ligne 95,AUBERVILLIERS
C02007,2024-06-02,Ligne 168,SAINT DENIS
C01421,2024-06-02,Ligne N122,QUAIS DE SEINE
C01158,2024-06-02,Ligne 129,PARIS EST
C01818,2024-06-02,Ligne 208B,CRETEIL-ST MAUR   
C02027,2024-06-02,Ligne 260,PARIS SUD OUEST
C01135,2024-06-02,Ligne 106,CRETEIL-ST MAUR   
C01168,2024-06-02,Ligne 143,PAVILLONS
C01153,2024-06-02,Ligne 124,BORDS DE MARNE
C01354,2024-06-02,Ligne TUC,RIVES NORD
C01398,2024-06-02,Ligne N34,BORDS DE MARNE
C01208,2024-06-02,Ligne 187,THIAIS
C01396,2024-06-02,Ligne N42,FLANDRE
C01198,2024-06-02,Ligne 177,RIVES NORD
C01127,2024-06-02,Ligne 96,PARIS EST
C01244,2024-06-02,Ligne 252,AUBERVILLIERS
C01254,2024-06-02,Ligne 272,DEFENSE OUEST
C01085,2024-06-02,Ligne 42,PARIS SUD OUEST
C01485,2024-06-02,Ligne 459,PARIS SUD OUEST
C01105,2024-06-02,Ligne 69,PARIS EST
C01695,2024-06-02,Ligne 247,PAVILLONS
C01090,2024-06-02,Ligne 52,PARIS SUD OUEST
C01144,2024-06-02,Ligne 115,PARIS EST
C01276,2024-06-02,Ligne 306,CRETEIL-ST MAUR   
C01253,2024-06-02,Ligne 270,SAINT DENIS
C01188,2024-06-02,Ligne 166,RIVES NORD
C01130,2024-06-02,Ligne 101,CRETEIL-ST MAUR   
C01076,2024-06-02,Ligne 26,BELLIARD
C01117,2024-06-02,Ligne 85,RIVES NORD
C01123,2024-06-02,Ligne 92,MONTROUGE
C01086,2024-06-02,Ligne 43,BELLIARD
C01261,2024-06-02,Ligne ORLYBUS,QUAIS DE SEINE
C01140,2024-06-02,Ligne 111,CRETEIL-ST MAUR   
C01197,2024-06-02,Ligne 176,DEFENSE OUEST
C01266,2024-06-02,Ligne 291,MONTROUGE
C01136,2024-06-02,Ligne 107,CRETEIL-ST MAUR   
C01300,2024-06-02,Ligne ROISSYBUS,AUBERVILLIERS
C01246,2024-06-02,Ligne 255,SAINT DENIS
C01213,2024-06-02,Ligne 192,THIAIS
C01109,2024-06-02,Ligne 74,RIVES NORD
C01234,2024-06-02,Ligne 234,PAVILLONS
C01295,2024-06-02,Ligne 346,PAVILLONS
C01780,2024-06-02,Ligne THIAIS,ne pas prendre
C01342,2024-06-02,Ligne TUB,Pavillons
C01819,2024-06-02,Ligne 208S,CRETEIL-ST MAUR   
C01252,2024-06-02,Ligne 269,SAINT DENIS
C01165,2024-06-02,Ligne 139,AUBERVILLIERS
C01292,2024-06-02,Ligne 340,RIVES NORD
C01299,2024-06-02,Ligne 351,PAVILLONS
C01403,2024-06-02,Ligne N62,SEINE RIVE GAUCHE
C01420,2024-06-02,Ligne N12,PARIS EST
C01274,2024-06-02,Ligne 303,BORDS DE MARNE
C01118,2024-06-02,Ligne 86,PARIS EST
C01103,2024-06-02,Ligne 67,MONTROUGE
C01280,2024-06-02,Ligne 317,CRETEIL-ST MAUR   
C01320,2024-06-02,Ligne 395,MONTROUGE
C01157,2024-06-02,Ligne 128,MONTROUGE   
C02314,2024-06-02,Ligne 263,DEFENSE OUEST
C01233,2024-06-02,Ligne 221,BORDS DE MARNE
C01345,2024-06-02,Ligne 559A,DEFENSE OUEST
C01350,2024-06-02,Ligne 565,DEFENSE OUEST
C01422,2024-06-02,Ligne N153,QUAIS DE SEINE
C01110,2024-06-02,Ligne 75,FLANDRE
C01214,2024-06-02,Ligne 194,SEINE RIVE GAUCHE
C01094,2024-06-02,Ligne 57,QUAIS DE SEINE
C01394,2024-06-02,Ligne N51,BELLIARD
C01289,2024-06-02,Ligne 330,FLANDRE
C01255,2024-06-02,Ligne 274,RIVES NORD
C01142,2024-06-02,Ligne 113,BORDS DE MARNE
C01183,2024-06-02,Ligne 160,DEFENSE OUEST
C01163,2024-06-02,Ligne 137,RIVES NORD
C01279,2024-06-02,Ligne 312,BORDS DE MARNE
C02082,2024-06-02,Ligne 559D,DEFENSE OUEST
C01248,2024-06-02,Ligne 258,DEFENSE OUEST
C01175,2024-06-02,Ligne 151,FLANDRE
C01160,2024-06-02,Ligne 132,VITRY
C01156,2024-06-02,Ligne 127,BORDS DE MARNE
C01413,2024-06-02,Ligne N01,PARIS EST
C01106,2024-06-02,Ligne 70,PARIS SUD OUEST
C01082,2024-06-02,Ligne 32,BELLIARD
C01275,2024-06-02,Ligne 304,DEFENSE OUEST
C01249,2024-06-02,Ligne 261,SAINT DENIS
C01241,2024-06-02,Ligne 249,FLANDRE
C01166,2024-06-02,Ligne 140,RIVES NORD
C01075,2024-06-02,Ligne 24,CRETEIL-ST MAUR   
C01321,2024-06-02,Ligne 396,THIAIS
C01401,2024-06-02,Ligne N21,MONTROUGE
C01400,2024-06-02,Ligne N31,VITRY
C01334,2024-06-02,Ligne 520,BORDS DE MARNE
C01285,2024-06-02,Ligne 321,BORDS DE MARNE
C01145,2024-06-02,Ligne 116,BORDS DE MARNE
C02243,2024-06-02,Ligne 25,CRETEIL-ST MAUR   
C01119,2024-06-02,Ligne 87,QUAIS DE SEINE
C01332,2024-06-02,Ligne BATIGNO,BELLIARD
C01097,2024-06-02,Ligne 61,FLANDRE
C01349,2024-06-02,Ligne 564,DEFENSE OUEST
C01177,2024-06-02,Ligne 153,SAINT DENIS
C01185,2024-06-02,Ligne 163,DEFENSE OUEST
C01397,2024-06-02,Ligne N23,PARIS EST
C01481,2024-06-02,Ligne 426,PARIS SUD OUEST
C01272,2024-06-02,Ligne 301,PARIS EST
C01093,2024-06-02,Ligne 56,PARIS EST
C01278,2024-06-02,Ligne 310,BORDS DE MARNE
C01267,2024-06-02,Ligne 292,THIAIS
C01314,2024-06-02,Ligne 388,SEINE RIVE GAUCHE
C01318,2024-06-02,Ligne 393,CRETEIL-ST MAUR   
C01095,2024-06-02,Ligne 58,SEINE RIVE GAUCHE
C01309,2024-06-02,Ligne 370,SAINT DENIS
C01121,2024-06-02,Ligne 89,SEINE RIVE GAUCHE
C01367,2024-06-02,Ligne V6,QUAIS DE SEINE
C02251,2024-06-02,Ligne 77,PARIS EST
C01170,2024-06-02,Ligne 145,PAVILLONS
C01200,2024-06-02,Ligne 179,SEINE RIVE GAUCHE
C01360,2024-06-02,Ligne CHOISYBUS,CRETEIL-ST MAUR   
C01204,2024-06-02,Ligne 183,THIAIS
C01288,2024-06-02,Ligne 325,VITRY
C01100,2024-06-02,Ligne 64,PARIS EST
C01362,2024-06-02,Ligne V5,QUAIS DE SEINE
C01313,2024-06-02,Ligne 385,THIAIS
C01408,2024-06-02,Ligne N63,SEINE RIVE GAUCHE
C01192,2024-06-02,Ligne 171,PARIS SUD OUEST
C01351,2024-06-02,Ligne 566,DEFENSE OUEST
C01203,2024-06-02,Ligne 182,VITRY
C01092,2024-06-02,Ligne 54,AUBERVILLIERS
C01228,2024-06-02,Ligne 214,BORDS DE MARNE
C01221,2024-06-02,Ligne 206,BORDS DE MARNE
C01131,2024-06-02,Ligne 102,PARIS EST
C01155,2024-06-02,Ligne 126,SEINE RIVE GAUCHE
C01281,2024-06-02,Ligne 318,PARIS EST
C01262,2024-06-02,Ligne 285,THIAIS
C01302,2024-06-02,Ligne 355,SAINT DENIS
C01287,2024-06-02,Ligne 323,SEINE RIVE GAUCHE
C02081,2024-06-02,Ligne 559C,DEFENSE OUEST
C01161,2024-06-02,Ligne 133,FLANDRE
C01353,2024-06-02,Ligne SUBB,PARIS SUD OUEST
C01821,2024-06-02,Ligne 486,THIAIS
C01220,2024-06-02,Ligne 203,BORDS DE MARNE
C01245,2024-06-02,Ligne 253,SAINT DENIS
