type_attachement,LIGNE,key,TIME
Parking,01,0,07:00:00
Parking,01,0,07:30:00
Parking,01,0,08:00:00
Parking,01,0,08:30:00
Parking,01,0,09:00:00
Parking,01,0,09:30:00
Parking,01,0,10:00:00
Parking,01,0,10:30:00
Parking,01,0,11:00:00
Parking,01,0,11:30:00
Parking,01,0,12:00:00
Parking,01,0,12:30:00
Parking,01,0,13:00:00
Parking,01,0,13:30:00
Parking,01,0,14:00:00
Parking,01,0,14:30:00
Parking,01,0,15:00:00
Parking,01,0,15:30:00
Parking,01,0,16:00:00
Parking,01,0,16:30:00
Parking,01,0,17:00:00
Parking,01,0,17:30:00
Parking,01,0,18:00:00
Parking,01,0,18:30:00
Parking,01,0,19:00:00
Parking,01,0,19:30:00
Parking,01,0,20:00:00
Parking,01,0,20:30:00
Parking,01,0,21:00:00
Parking,01,0,21:30:00
Parking,01,0,22:00:00
Parking,01,0,22:30:00
Parking,01,0,23:00:00
Parking,01,0,23:30:00
Parking,01,0,00:00:00
Parking,01,0,00:30:00
Parking,01,0,01:00:00
Parking,01,0,06:00:00
Parking,01,0,06:30:00
Parking,01,0,01:30:00
Parking,01,0,02:00:00
Parking,01,0,02:30:00
Parking,01,0,03:00:00
Parking,01,0,03:30:00
Parking,01,0,04:00:00
Parking,01,0,04:30:00
Parking,01,0,05:00:00
Parking,01,0,05:30:00
Parking,01,0,23:59:00
Parking,03,0,07:00:00
Parking,03,0,07:30:00
Parking,03,0,08:00:00
Parking,03,0,08:30:00
Parking,03,0,09:00:00
Parking,03,0,09:30:00
Parking,03,0,10:00:00
Parking,03,0,10:30:00
Parking,03,0,11:00:00
Parking,03,0,11:30:00
Parking,03,0,12:00:00
Parking,03,0,12:30:00
Parking,03,0,13:00:00
Parking,03,0,13:30:00
Parking,03,0,14:00:00
Parking,03,0,14:30:00
Parking,03,0,15:00:00
Parking,03,0,15:30:00
Parking,03,0,16:00:00
Parking,03,0,16:30:00
Parking,03,0,17:00:00
Parking,03,0,17:30:00
Parking,03,0,18:00:00
Parking,03,0,18:30:00
Parking,03,0,19:00:00
Parking,03,0,19:30:00
Parking,03,0,20:00:00
Parking,03,0,20:30:00
Parking,03,0,21:00:00
Parking,03,0,21:30:00
Parking,03,0,22:00:00
Parking,03,0,22:30:00
Parking,03,0,23:00:00
Parking,03,0,23:30:00
Parking,03,0,00:00:00
Parking,03,0,00:30:00
Parking,03,0,01:00:00
Parking,03,0,06:00:00
Parking,03,0,06:30:00
Parking,03,0,01:30:00
Parking,03,0,02:00:00
Parking,03,0,02:30:00
Parking,03,0,03:00:00
Parking,03,0,03:30:00
Parking,03,0,04:00:00
Parking,03,0,04:30:00
Parking,03,0,05:00:00
Parking,03,0,05:30:00
Parking,03,0,23:59:00
Parking,06,0,07:00:00
Parking,06,0,07:30:00
Parking,06,0,08:00:00
Parking,06,0,08:30:00
Parking,06,0,09:00:00
Parking,06,0,09:30:00
Parking,06,0,10:00:00
Parking,06,0,10:30:00
Parking,06,0,11:00:00
Parking,06,0,11:30:00
Parking,06,0,12:00:00
Parking,06,0,12:30:00
Parking,06,0,13:00:00
Parking,06,0,13:30:00
Parking,06,0,14:00:00
Parking,06,0,14:30:00
Parking,06,0,15:00:00
Parking,06,0,15:30:00
Parking,06,0,16:00:00
Parking,06,0,16:30:00
Parking,06,0,17:00:00
Parking,06,0,17:30:00
Parking,06,0,18:00:00
Parking,06,0,18:30:00
Parking,06,0,19:00:00
Parking,06,0,19:30:00
Parking,06,0,20:00:00
Parking,06,0,20:30:00
Parking,06,0,21:00:00
